condition,target_pressure,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,n_calls
vary_concurrency,0.5,2,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9281889968973193,5179511,72126983,0.07348501696287713,0.42441113340373704,1.5143112534167358,4.171655467485607,0.05233167036658415,4842.263924340947,3684.8246473366917,0.7609714598194299,0,353920,0,6.580259148763035,1105.6165413533834,0.4547027100790215,0.4837072368421052,4.1159243356898045,0.998283855369829,4123
vary_concurrency,0.5,3,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9275118718143447,5215142,71944774,0.07226192919301866,0.4271459728215632,1.538247545289778,4.287331760001052,0.059022671884576994,4541.747647928407,3720.4954895366704,0.8191770608905742,0,357711,0,6.925953236090264,1089.762098706277,0.4717275833814535,0.4767709181839962,3.860485500739146,0.9248887160371696,4174
vary_concurrency,0.5,1,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9276880934351083,5307266,73394082,0.07555630746992392,0.456416352965789,1.636927624789564,4.402498126663431,0.07199639074633524,3690.0235122187914,3316.5446463666685,0.8987868601337036,0,363253,0,6.828048483105877,1107.7000955109838,0.47271437230562546,0.48461879178605544,3.136519985385973,0.7489302734923526,4188
vary_concurrency,0.5,0,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.92846773646301,5238001,73225713,0.0769188235122158,0.4689862221243857,1.7366276252347461,4.660346557481944,0.1096779351485111,3146.107603028326,3002.2276206413285,0.954267304065346,0,360524,0,6.912610119686213,1078.8021901211557,0.46608368353569696,0.47197595817800564,2.6741914625740772,0.6230641804692632,4292
vary_concurrency,0.5,4,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9280085873130608,5421216,75303648,0.07453404101283923,0.478358984940769,1.5457228240002223,4.155667503902805,0.06094649501903859,4362.926128951852,3652.478372268006,0.8371625519924804,0,369940,0,6.907077817968866,1126.685768411082,0.48638164242583704,0.4929250236798484,3.7084872096090744,0.8781641509848624,4223
vary_concurrency,0.5,2,lru,0.0,closed,7,0.5,16000,2.0,200,0.9255472116447738,5370055,72126983,0.073673325474374,0.43556666666665933,1.508378801670915,4.225620078514112,0.05239963489339061,4856.6901147220315,3677.714514003337,0.7572471018595816,0,365829,0,6.579992233957795,1105.6165413533834,0.45468426599003375,0.4837072368421052,4.128186597513727,1.0012579668963684,4123
vary_concurrency,0.5,3,lru,0.0,closed,7,0.5,16000,2.0,200,0.9254402828480635,5364182,71944774,0.0713255069746026,0.44126934096993864,1.5234242713049753,4.269871025355997,0.055904047053900285,4544.249464359048,3729.7666895366474,0.8207662714799305,0,367026,0,6.923663284278908,1089.762098706277,0.47157161446321105,0.4767709181839962,3.862612044705191,0.9253981899149955,4174
vary_concurrency,0.5,0,lru,0.0,closed,7,0.5,16000,2.0,200,0.9279879050136391,5273137,73225713,0.07641351727238543,0.46158515913248266,1.7202670523634822,4.6432973924602265,0.09072834566188703,3144.5721418760772,2999.0244206413654,0.9537146185020017,0,362720,0,6.9114878388901735,1078.8021901211557,0.4660080135994033,0.47197595817800564,2.6728863205946656,0.622760093335197,4292
vary_concurrency,0.5,1,lru,0.0,closed,7,0.5,16000,2.0,200,0.9261093285423203,5423138,73394082,0.07539833904718307,0.45417772405812684,1.6483028265879511,4.464254343573202,0.07564126874945032,3704.578544254451,3310.2006463666694,0.8935431134266447,0,370495,0,6.819597815773091,1107.7000955109838,0.4721293219923969,0.48461879178605544,3.1488917626162833,0.7518843750277658,4188
vary_concurrency,0.5,4,lru,0.0,closed,7,0.5,16000,2.0,200,0.9268049271663439,5511856,75303648,0.07437565642612753,0.4827390400319018,1.5413372228968,4.198927184623244,0.06641236543600826,4363.840483992843,3684.5629056013713,0.8443395030402341,0,375605,0,6.907469855175799,1126.685768411082,0.4864092488471957,0.4929250236798484,3.7092644113939164,0.8783481911896558,4223
