loop,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
open_matched,0,lru,0.0,poisson,32,0.05772333568764986,12868,0.5,200,0.9085055682557847,6699745,73225713,0.12494888470206433,1.0577673653792772,3.0808781850125797,10.119563091346663,0.34274484403158567,3773.5534029591563,3711.2154879719683,0.9834803146184963,0,455465,0,5.851971225686992,1078.8021901211557,0.4906061062167478,,3.207520392515283,0.7473253477435422,3.1545331647761734,0.734979768121196,4292
open_matched,1,lru,0.0,poisson,32,0.05772333568764986,12868,0.5,200,0.8468881183090484,11237506,73394082,0.14015807826854143,13.515764209768804,3.262616796886732,33.42883573055724,9.369042288834407,4332.713639551737,4296.379932176169,0.9916140990616386,18,737475,0,7.556688243069283,1107.7000955109838,0.6504930283334297,,3.682806593618977,0.8793712019147509,3.6519229423497435,0.871996882127446,4188
open_matched,0,belady,0.0,poisson,32,0.05772333568764986,12868,0.5,200,0.9087087755635783,6684865,73225713,0.12493061657721682,1.0577673653792772,3.0821947090829553,10.08331768949165,0.342023196822538,3777.4133527694075,3715.1154429711532,0.9835077858893625,3,443480,0,5.858802202079258,1078.8021901211557,0.4911787882413548,,3.2108013498539965,0.748089783283783,3.1578481265254803,0.7357521264038864,4292
open_matched,0,oracle_terminal,0.0,poisson,32,0.05772333568764986,12868,0.5,200,0.9085586643587888,6695857,73225713,0.12494888470206433,1.0577673653792772,3.0808781850125797,10.119563091346663,0.34274484403158567,3773.24634134738,3710.908426360192,0.9834789702691588,0,454314,0,5.851470907538134,1078.8021901211557,0.4905641615233421,,3.207259390145273,0.7472645363805389,3.1542721624061634,0.7349189567581927,4292
open_matched,1,belady,0.0,poisson,32,0.05772333568764986,12868,0.5,200,0.8446187255261262,11404066,73394082,0.13975166929776606,12.973794473615271,3.2665455079358594,33.265489862427785,8.903013284118515,4349.83836523746,4312.702792195803,0.9914627694356571,12,718370,0,7.474911260601403,1107.7000955109838,0.643453521705339,,3.6973626104518407,0.8828468506331998,3.665797373366433,0.8753097835163403,4188
open_matched,1,oracle_terminal,0.0,poisson,32,0.05772333568764986,12868,0.5,200,0.8434702950573045,11488354,73394082,0.13876469067110975,12.72901587250999,3.252192082613533,32.82143386620146,8.574730292631102,4362.251920752468,4327.164743393444,0.991956636618783,12,751466,0,7.47183717720356,1107.7000955109838,0.6431888991941952,,3.707914132639598,0.8853663162940779,3.6780900318844276,0.8782449932866351,4188
closed,0,lru,0.0,closed,16,0.5,12868,0.5,200,0.18268621023874496,59848385,73225713,9.911406018930961,27.282013097335494,29.886532237064557,69.76784531018347,23.18840466605161,8869.896271596524,8866.480604412345,0.9996149146416609,82,3776130,0,15.832148485667325,1078.8021901211557,1.3273046674433673,1.3413766740704454,7.539411830857046,1.7566197182798338,7.536508513750494,1.7559432697461543,4292
closed,2,lru,0.0,closed,16,0.5,12868,0.5,200,0.18562240430880078,58738599,72126983,11.375563539679206,26.30238934992576,30.59220326823265,69.72587682782114,21.359323193029923,8974.244854141542,8912.65152231219,0.9931366557487088,92,3703721,0,15.648330526829085,1105.6165413533834,1.344502104058699,1.3747174900259662,7.628108126020311,1.8501353689110625,7.575753793965361,1.837437252962736,4123
closed,1,lru,0.0,closed,16,0.5,12868,0.5,200,0.174410574411163,60593378,73394082,11.71341918174494,26.73998853964804,31.45230472324411,69.96499456581273,22.05618900048796,9138.941994541872,9137.744333580958,0.9998689497141322,110,3820065,0,15.818481384036918,1107.7000955109838,1.36168272769167,1.377308169737002,7.768100695360591,1.8548473484624142,7.767082683543815,1.8546042701871572,4188
closed,0,oracle_terminal,0.0,closed,16,0.5,12868,0.5,200,0.18996583891235036,59315329,73225713,10.335613429426076,26.667120835522383,29.957348873457022,69.57973016540882,22.354584756424345,8913.27316070403,8909.43475797319,0.9995693610347586,132,3734254,0,15.823212699928828,1078.8021901211557,1.3265555265337352,1.3413766740704454,7.576282186598426,1.7652102019101643,7.57301954427721,1.7644500336153799,4292
