condition,target_pressure,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
vary_concurrency,0.5,2,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9281889968973193,5179511,72126983,0.11770012944816699,0.7842049337272101,2.4381139173005977,6.761872348843099,0.17348305380573947,5520.506474617448,4723.093589843983,0.8555543973293279,0,353920,0,6.624733126046981,1105.6165413533834,0.45777590788807815,0.4837072368421052,4.692430503424831,1.1381107211799248,4.014629551367386,0.9737156321531375,4123
vary_concurrency,0.5,3,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9275118718143447,5215142,71944774,0.11140537777032478,0.7997480946596625,2.424817815250994,7.057435725797404,0.1637088903391941,5258.8698267953605,4840.882550743561,0.9205176606726333,0,357711,0,6.901337324851248,1089.762098706277,0.47005099043811616,0.4767709181839962,4.470039352776057,1.0709246173397358,4.114750168132026,0.9858050235103083,4174
vary_concurrency,0.5,0,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.92846773646301,5238001,73225713,0.1209572323652992,0.8375046407252285,2.779728792274618,7.643439823199515,0.24766642285646867,3973.479549285124,3909.181370517885,0.9838181679382729,0,360524,0,6.886366938311441,1078.8021901211557,0.4643142334392687,0.47197595817800564,3.3774576168923556,0.7869192956412757,3.322804164940203,0.7741854997530762,4292
vary_concurrency,0.5,1,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9276880934351083,5307266,73394082,0.12037062583343072,0.8540600755823107,2.6765708001563553,7.37256947393189,0.18818015479894257,4441.4311644120135,4256.184041858167,0.9582911193044752,0,363253,0,6.856954160016029,1107.7000955109838,0.47471554862276205,0.48461879178605544,3.7752164897502114,0.9014366021371087,3.6177564355794423,0.8638386904439929,4188
vary_concurrency,0.5,4,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9280085873130608,5421216,75303648,0.11762220858759065,0.9258964512873717,2.5268633209168456,6.914420324210369,0.22474873083297098,5086.667372040882,4720.586986915727,0.9280313890510448,0,369940,0,6.9203981582867256,1126.685768411082,0.4873196322924948,0.4929250236798484,4.323667266234749,1.0238378560821098,4.012498938878368,0.9501536677429239,4223
vary_concurrency,0.5,2,lru,0.0,closed,7,0.5,16000,2.0,200,0.9255800426312023,5367687,72126983,0.11899943111257016,0.8473017952410373,2.455085630578651,7.008724897035449,0.1661299174670603,5556.563715060326,4747.448169925188,0.8543856263283479,0,365681,0,6.621160054081396,1105.6165413533834,0.45752900492129084,0.4837072368421052,4.723079157801277,1.145544302158932,4.03533094443641,0.9787365860869295,4123
vary_concurrency,0.5,3,lru,0.0,closed,7,0.5,16000,2.0,200,0.9268982900689909,5259286,71944774,0.11123858054111224,0.7937379179059999,2.4347260940844535,7.059748697046871,0.16432554759467166,5256.243231412481,4833.2194776933675,0.9195197529689971,0,360470,0,6.909287083786064,1089.762098706277,0.4705924495619296,0.4767709181839962,4.467806746700608,1.0703897332775776,4.108236556039363,0.984244503123949,4174
vary_concurrency,0.5,0,lru,0.0,closed,7,0.5,16000,2.0,200,0.9275782128608293,5303137,73225713,0.12350775875029285,0.8877386968683822,2.8034210391158467,7.580871880030372,0.24626458856528188,3974.922900877072,3915.0499445304367,0.9849373288892158,0,364595,0,6.8882151235255105,1078.8021901211557,0.46443884758031173,0.47197595817800564,3.3786844657455113,0.7872051411336234,3.327792452850871,0.7753477289960091,4292
vary_concurrency,0.5,1,lru,0.0,closed,7,0.5,16000,2.0,200,0.927103196140528,5350194,73394082,0.12089209000828305,0.8496947344940509,2.679251662285992,7.375356658883902,0.22244684957468053,4444.65885791963,4260.359767993333,0.9585347051781248,0,365936,0,6.857538023758815,1107.7000955109838,0.4747559702429902,0.48461879178605544,3.777960029231685,0.90209169752428,3.621305802794333,0.86468619933007,4188
vary_concurrency,0.5,4,lru,0.0,closed,7,0.5,16000,2.0,200,0.9268049271663439,5511856,75303648,0.11760744572347903,0.996604553916768,2.5513470259695623,7.0350926182218245,0.22337581601254897,5098.844571510417,4736.077171062115,0.9288530184906498,0,375605,0,6.9166456877028795,1126.685768411082,0.48705539134229475,0.4929250236798484,4.3340178857838545,1.0262888671048673,4.025665595402798,0.9532715120537054,4223
