termination_signal_strength,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
0.0,2,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8488424921364034,10902535,72126983,0.1495729570469848,4.662803008696301,3.232190654438682,14.593378356471817,0.6568832081293294,4670.943548335572,4340.80986685252,0.929321842992367,6,711732,0,9.359387426381257,1105.6165413533834,0.8041570994359645,0.859198431266229,3.970302016085236,0.9629643502510881,3.689688386824642,0.8949038047112884,4123
0.0,3,belady,0.0,closed,10,0.5,12868,2.0,200,0.8553934438657074,10403686,71944774,0.1372465977643742,4.881860132120437,3.296777535028113,18.32060073632806,0.6933369710055501,4071.5002693414995,4036.735606035061,0.9914614611306262,2,608774,0,9.778753988647154,1089.762098706277,0.8281407731893455,0.8468776023517849,3.4607752289402747,0.8291267917921118,3.431225265129802,0.8220472604527557,4174
0.0,2,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.617218551897561,27608871,72126983,0.3950769573061734,8.987363775808262,5.797335420347508,27.295335374439446,1.0446816481047563,6368.507882105227,6074.482228361884,0.953831311951498,0,1594495,0,9.492976959091935,1105.6165413533834,0.8156350911298248,0.859198431266229,5.413231699789443,1.3129351685155088,5.163309894107602,1.2523186742924088,4123
0.0,2,predict,0.0,closed,10,0.5,12868,2.0,200,0.45682542967310863,39177543,72126983,1.165578491262,9.497875092941513,8.760585067710508,33.58699932933587,1.2285695889272574,7564.56502957631,7266.542019850732,0.9606027565946815,10,2039033,0,9.546011852846378,1105.6165413533834,0.8201918408814436,0.859198431266229,6.429880275139864,1.5595149830559942,6.176560716873123,1.4980743916742962,4123
0.0,3,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8253857604723311,12562582,71944774,0.14587946326560086,5.9543211620180045,3.4506844869226896,20.22737395152808,0.9126058233709955,4324.212926241805,4288.388162499773,0.9917153099643575,5,817385,0,9.786842362938112,1089.762098706277,0.8288257594919906,0.8468776023517849,3.6755809873055343,0.880589599258633,3.6451299381248066,0.8732941873801645,4174
0.0,3,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.8623016315264261,9906678,71944774,0.13645292967584055,3.9202199594840295,3.288141808705973,16.257537412859165,0.7142750010953023,4021.537557929997,3978.3133743310714,0.9892518264528718,2,613143,0,9.762745730279022,1089.762098706277,0.8267850696428825,0.8468776023517849,3.4183069242404973,0.8189523057595824,3.381566368181411,0.8101500642504579,4174
0.0,3,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.6361975367383877,26173686,71944774,0.39547551041198403,7.902590008651714,6.291474411965396,27.066758016882886,1.0115776527908338,5687.98657788123,5671.334043336806,0.9970723323066231,13,1516717,0,9.813041220489913,1089.762098706277,0.831044482058773,0.8468776023517849,4.834788591199046,1.158310635169872,4.820633936836285,1.1549194865443901,4174
0.0,3,predict,0.0,closed,10,0.5,12868,2.0,200,0.46382888074677947,38574710,71944774,1.2102581426138386,10.198565843724282,9.703544481997596,33.615191125014405,1.2874233301331515,7045.551894594694,7020.159855495194,0.9963960184412266,20,1984763,0,9.79859762476569,1089.762098706277,0.8298212862871464,0.8468776023517849,5.98871911040549,1.4347673958805678,5.967135877170915,1.4295965206446852,4174
0.0,4,lru,0.0,closed,10,0.5,12868,2.0,200,0.7828920054444108,16349024,75303648,0.16921017085678614,9.018157313142183,3.7076734933573334,28.011399828734284,2.8978264213533294,4816.680289098713,4774.685252422195,0.9912813319224109,20,1053055,0,9.850376980131557,1126.685768411082,0.8624712120763411,0.8755717814820345,4.0941782457339055,0.9694952038204844,4.058482464558866,0.9610424969355591,4223
0.0,4,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8170806280195084,13774496,75303648,0.15843421608860808,7.7138257416945635,3.5516686252640284,24.195738698500918,1.9567746881025414,4477.570306570084,4447.26145235423,0.9932309596185724,10,878746,0,9.83846113080402,1126.685768411082,0.8614278939339829,0.8755717814820345,3.8059347605845715,0.901239583373093,3.7801722345010953,0.8951390562398994,4223
