sweep,seed,policy,const_ttl_s,concurrency,pause_median_s,pool_blocks,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,rm_total,rm_per_1k_calls,n_calls
pause,0,const_ttl,256.0,16,0.5,16000,0.4906398931206037,37298257,73225713,0.41706677577298024,12.701342759844465,8.72735920367495,42.77722273751169,9.58212864086272,4202.870585232156,4199.454918047976,0.9991873013658374,36,2361180,2361180,3.572439997447333,0.8323485548572537,4292
concurrency,0,const_ttl,256.0,24,2.0,16000,0.12177536598380408,64308625,73225713,12.051850417555215,24.782217709462202,30.38976006300254,62.75568769090353,21.986058025050625,6464.875040646344,6456.279995619344,0.9986705009806128,86,4051163,4051163,5.495143784549393,1.2803224101932416,4292
concurrency,0,const_ttl,256.0,32,2.0,16000,0.09291053267040227,66422273,73225713,24.60831484415121,38.31729368520109,43.305036443523704,77.06634715049586,35.58905467871625,6621.730386127378,6618.935144673987,0.9995778684285839,99,4182666,4182666,5.628470828208271,1.311386493058777,4292
concurrency,0,const_ttl,1000000000.0,20,2.0,16000,0.28479241984301334,52371585,73225713,5.732045431276674,17.843036981957653,20.353688274954152,52.10629857179265,14.877151713412786,5509.403716287067,5501.29322728794,0.9985278826136572,83,3303069,3303069,4.682993158844007,1.0910981264781003,4292
pause,0,const_ttl,1000000000.0,16,10.0,16000,0.8112783005608972,13819281,73225713,0.09927500000000578,2.811475029356643,1.9800428071683882,9.552430128000651,0.465543683937085,5054.536742610065,4140.214384378047,0.8191085741796627,8,896179,896179,4.296356231218555,1.0010149653351712,4292
pause,0,const_ttl,1000000000.0,16,2.0,16000,0.6264265122280203,27355185,73225713,0.21330411572108687,10.41982009185449,5.03692617529623,34.09656143250231,7.577014762995532,3533.3383650809888,3523.4066671260357,0.9971891460911003,13,1739373,1739373,3.0033376103188405,0.6997524721152937,4292
pause,0,const_ttl,1000000000.0,16,30.0,16000,0.8359277840012291,12014305,73225713,0.07885833333375558,1.9331721172247853,1.495816490496054,4.843172795544888,0.08759534610544506,13207.16160372346,5628.244420641359,0.42615094669959996,0,783368,783368,11.226087363164941,2.615584194586426,4292
concurrency,0,const_ttl,1000000000.0,24,2.0,16000,0.12177536598380408,64308625,73225713,12.051850417555215,24.782217709462202,30.38976006300254,62.75568769090353,21.986058025050625,6464.875040646344,6456.279995619344,0.9986705009806128,86,4051163,4051163,5.495143784549393,1.2803224101932416,4292
pause,0,const_ttl,1000000000.0,16,0.5,16000,0.4906398931206037,37298257,73225713,0.41706677577298024,12.701342759844465,8.72735920367495,42.77722273751169,9.58212864086272,4202.870585232156,4199.454918047976,0.9991873013658374,36,2361180,2361180,3.572439997447333,0.8323485548572537,4292
concurrency,0,const_ttl,1000000000.0,32,2.0,16000,0.09291053267040227,66422273,73225713,24.60831484415121,38.31729368520109,43.305036443523704,77.06634715049586,35.58905467871625,6621.730386127378,6618.935144673987,0.9995778684285839,99,4182666,4182666,5.628470828208271,1.311386493058777,4292
concurrency,0,ttl_oracle,0.0,4,2.0,16000,0.9285168995213471,5234401,73225713,0.07030631886175343,0.3959233594032412,1.4685979000735188,3.8267209163868756,0.02013830093846991,5093.352931785277,4160.071620641341,0.8167648455460927,0,360524,0,4.329349992017486,1.008702234859619,4292
concurrency,0,ttl_oracle,0.0,8,2.0,16000,0.9284513487768975,5239201,73225713,0.07894892508340945,0.47501528432439954,1.8587213668863285,4.97055925792904,0.12299722966128712,2826.9129560621595,2739.377220641321,0.969034867085977,0,360524,0,2.4028760126528357,0.5598499563496822,4292
concurrency,0,ttl_oracle,0.0,12,2.0,16000,0.837829411097711,11875057,73225713,0.09763122569387406,3.8173902044113674,2.4962807707514116,14.846982040189005,0.48576836846086735,2657.8258527723747,2619.099404461364,0.9854292754844659,6,761828,170875,2.2591519748565183,0.5263634610569706,4292
concurrency,0,ttl_oracle,0.0,14,2.0,16000,0.7295644905499247,19802833,73225713,0.13303072296105256,6.470187406063815,3.2478821406314182,26.208436584945503,3.1688811970614097,3082.3662857773247,3063.3760396013336,0.9938390689440071,18,1258416,478839,2.620011342910726,0.6104406670341859,4292
concurrency,0,ttl_oracle,0.0,16,2.0,16000,0.5816715229526,30632401,73225713,0.2301379393550178,10.228827691280458,5.092191033892618,35.700382584508134,7.337110019290321,3828.0191287951616,3809.887714171972,0.9952634994724031,24,1936187,999456,3.2538162594758875,0.7581118964296103,4292
