loop,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
open_matched,0,lru,0.0,poisson,32,0.058328878842306434,12868,0.5,200,0.908906738811816,6670369,73225713,0.12878546919159817,1.0183666405587246,3.1053151337662825,10.070538762184697,0.3391454739698929,3746.7906129046687,3678.1624221100046,0.9816834731681308,3,453629,0,6.222939079887475,1078.8021901211557,0.5217065828701536,,3.1847720209689685,0.7420251679797224,3.126438058793504,0.7284338440804995,4292
open_matched,1,lru,0.0,poisson,32,0.058328878842306434,12868,0.5,200,0.8364292913970911,12005122,73394082,0.1459161976320047,14.787605988350606,3.3819638737575417,35.18654243791252,10.610596791022544,4328.810090986922,4283.121473026517,0.9894454556794873,16,785451,0,8.196036467877814,1107.7000955109838,0.7055292491669072,,3.679488577338884,0.8785789344171164,3.6406532520725396,0.8693059341147421,4188
open_matched,0,belady,0.0,poisson,32,0.058328878842306434,12868,0.5,200,0.9095615907488671,6622417,73225713,0.12877132649225587,1.047910614612647,3.104296377220237,10.11361806326886,0.34112616445781896,3742.217403029705,3673.3879502052764,0.981607307804003,4,443204,0,6.2051401836146285,1078.8021901211557,0.5202143938523665,,3.1808847925752493,0.7411194763688839,3.1223797576744845,0.7274882939595724,4292
open_matched,0,oracle_terminal,0.0,poisson,32,0.058328878842306434,12868,0.5,200,0.9091977841171721,6649057,73225713,0.12877132649225587,1.0383325667876306,3.104296377220237,10.11361806326886,0.34112616445781896,3744.5388461004213,3675.7093932759926,0.9816187104331664,4,452274,0,6.209904439130065,1078.8021901211557,0.5206138101784739,,3.182858019185358,0.7415792216182102,3.124352984284594,0.727948039208899,4292
open_matched,1,oracle_terminal,0.0,poisson,32,0.058328878842306434,12868,0.5,200,0.839302111578969,11794274,73394082,0.14482759131084322,14.787605988350606,3.3199727992580392,34.78655137805572,10.610596791022544,4328.811191606162,4281.2112506125495,0.9890039230433724,19,766242,0,8.134712284557432,1107.7000955109838,0.7002503554988063,,3.6794895128652376,0.8785791577997225,3.6390295630206673,0.8689182337680676,4188
open_matched,1,belady,0.0,poisson,32,0.058328878842306434,12868,0.5,200,0.8422795723502612,11575746,73394082,0.14275467904249695,13.493185003512735,3.3096780341375336,34.60523384826911,9.215156915732223,4315.21214747296,4264.441659120984,0.9882345324825552,27,722976,0,8.012510576050513,1107.7000955109838,0.6897310172811564,,3.667930325352016,0.8758190843724968,3.6247754102528367,0.865514663384154,4188
closed,0,lru,0.0,closed,16,0.5,12868,0.5,200,0.1962661394638793,58853985,73225713,9.74450998898243,26.440305616662954,29.25615308295221,67.87041104085405,22.48115006650687,8777.813154684573,8773.353541381126,0.9994919448358198,93,3713220,0,15.828081313693989,1078.8021901211557,1.3269636918424632,1.3413766740704454,7.461141181481887,1.738383313485994,7.457350510173957,1.7375001188662529,4292
closed,2,lru,0.0,closed,16,0.5,12868,0.5,200,0.18230714017249272,58977719,72126983,11.426038757973402,25.768744319275356,30.55353274121103,68.51518641474127,21.431150472355966,8938.399991217766,8887.462367066946,0.9943012592633058,69,3716163,0,15.63245636777181,1105.6165413533834,1.343138198802731,1.3747174900259662,7.597639992535102,1.8427455718008978,7.554343012006903,1.8322442425435128,4123
closed,1,lru,0.0,closed,16,0.5,12868,0.5,200,0.18865935267096876,59547602,73394082,11.137422378102542,26.432865826953275,30.840311275721433,70.12757892644186,21.967826179157782,8990.354786834952,8977.889906798373,0.998613527460025,106,3753049,0,15.840614749795861,1107.7000955109838,1.3635880067843935,1.377308169737002,7.64180156880971,1.8246899638991667,7.631206420778617,1.8221600813702523,4188
closed,0,oracle_terminal,0.0,closed,16,0.5,12868,0.5,200,0.1969539852756367,58803617,73225713,9.910965168067378,26.571218940638573,29.28755066705844,67.81782915035456,22.02189152668052,8801.58683668179,8797.059549379801,0.999485628286581,104,3693483,0,15.835290073163605,1078.8021901211557,1.3275680457050587,1.3413766740704454,7.481348811179521,1.7430915217100469,7.47750061697283,1.742194924737379,4292
