condition,target_pressure,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
vary_concurrency,0.5,2,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9281889968973193,5179511,72126983,0.11774923905340984,0.7750532547624971,2.4588249860403266,6.875757044927013,0.13843416220925064,5337.891805727906,4643.843159843891,0.8699770113101102,0,353920,0,6.633094806377499,1105.6165413533834,0.45835370864351127,0.4837072368421052,4.537208034868721,1.100462778284919,3.947266685867308,0.9573773189103342,4123
vary_concurrency,0.5,1,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9276880934351083,5307266,73394082,0.11705868758269844,0.8707226699825696,2.608215431044073,7.05533188990421,0.20342670827835718,4831.695793271661,4539.4219258581925,0.9395090502550942,0,363253,0,6.845854332930195,1107.7000955109838,0.4739470936525662,0.48461879178605544,4.106941424280912,0.9806450392265786,3.8585086369794634,0.9213248894411327,4188
vary_concurrency,0.5,3,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9275118718143447,5215142,71944774,0.11615402562159716,0.7867342209597155,2.5901841575850426,7.52083908925124,0.21195974067962098,4404.956212074654,4268.225344743579,0.9689597669651573,0,357711,0,6.9086925065284515,1089.762098706277,0.47055195282692336,0.4767709181839962,3.7442127802634557,0.8970322904320689,3.6279915430320417,0.8691881990972788,4174
vary_concurrency,0.5,0,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.92846773646301,5238001,73225713,0.11446774784531044,0.7945332999327093,2.6581876940857683,7.252168403524365,0.19809620297746733,4450.935093965955,4305.825234517875,0.9673978936145794,0,360524,0,6.910935090016174,1078.8021901211557,0.4659707444309122,0.47197595817800564,3.7832948298710622,0.8814759622253174,3.6599514493401943,0.8527379891286567,4292
vary_concurrency,0.5,4,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9280085873130608,5421216,75303648,0.12085083968850086,0.9760313916569885,2.6887051759105454,7.331832852311436,0.2716147357589307,4439.461229747704,4270.584032915722,0.9619599793550669,0,369940,0,6.908416515592391,1126.685768411082,0.4864759106483764,0.4929250236798484,3.7735420452855486,0.893569037481778,3.6299964279783636,0.8595776528482982,4223
vary_concurrency,0.5,2,lru,0.0,closed,7,0.5,16000,2.0,200,0.9268750919472121,5274279,72126983,0.11935632174572675,0.8079296216000103,2.4616558118377725,6.952820007022638,0.1742045197377422,5351.288447251192,4645.757490815313,0.8681568068343819,0,359843,0,6.633702234339107,1105.6165413533834,0.45839568254363844,0.4837072368421052,4.548595180163514,1.1032246374396104,3.9488938671930165,0.9577719784605909,4123
vary_concurrency,0.5,3,lru,0.0,closed,7,0.5,16000,2.0,200,0.9266607745546604,5276374,71944774,0.11473543314259871,0.7916271933635244,2.6071020363432353,7.592183290316825,0.20503251990157878,4416.11627177403,4281.880949797916,0.9696033089449909,0,361538,0,6.901816715060292,1089.762098706277,0.47008364176813533,0.4767709181839962,3.7536988310079256,0.899304942742675,3.639598807328229,0.8719690482338833,4174
vary_concurrency,0.5,0,lru,0.0,closed,7,0.5,16000,2.0,200,0.9275782128608293,5303137,73225713,0.11805324093120362,0.8327699195322111,2.6346821439917676,7.252763890591723,0.21157017428367908,4453.696823620873,4304.99645453041,0.9666119237614452,0,364595,0,6.907452226746986,1078.8021901211557,0.4657359118982439,0.47197595817800564,3.7856423000777424,0.8820229030936027,3.6592469863508486,0.852573855160962,4292
vary_concurrency,0.5,1,lru,0.0,closed,7,0.5,16000,2.0,200,0.9266789657509443,5381330,73394082,0.11763372625273405,0.898977606790595,2.584512320359636,7.098270713425791,0.20985254789934515,4845.488048907073,4529.733101406308,0.9348352644122226,0,367882,0,6.839623995474362,1107.7000955109838,0.4735157595653855,0.48461879178605544,4.118664841571012,0.9834443270226867,3.850273136195362,0.9193584374869537,4188
vary_concurrency,0.5,4,lru,0.0,closed,7,0.5,16000,2.0,200,0.9257905805572659,5588240,75303648,0.12018920033150948,1.0267948255277588,2.6815076773837063,7.5180072960838515,0.25116694307598664,4454.17997499215,4301.826830923263,0.9657954674206545,0,380379,0,6.909576590247339,1126.685768411082,0.486557600623628,0.4929250236798484,3.786052978743328,0.8965316075641316,3.6565528062847736,0.8658661629847914,4223
vary_concurrency,0.5,2,belady,0.0,closed,7,0.5,16000,2.0,200,0.9281889968973193,5179511,72126983,0.11774923905340984,0.7750532547624971,2.4588249860403266,6.875757044927013,0.13843416220925064,5337.891805727906,4643.843159843891,0.8699770113101102,0,353920,0,6.633094806377499,1105.6165413533834,0.45835370864351127,0.4837072368421052,4.537208034868721,1.100462778284919,3.947266685867308,0.9573773189103342,4123
vary_concurrency,0.5,3,belady,0.0,closed,7,0.5,16000,2.0,200,0.9275118718143447,5215142,71944774,0.11615402562159716,0.7867342209597155,2.5901841575850426,7.52083908925124,0.21195974067962098,4404.956212074654,4268.225344743579,0.9689597669651573,0,357711,0,6.9086925065284515,1089.762098706277,0.47055195282692336,0.4767709181839962,3.7442127802634557,0.8970322904320689,3.6279915430320417,0.8691881990972788,4174
vary_concurrency,0.5,0,belady,0.0,closed,7,0.5,16000,2.0,200,0.92846773646301,5238001,73225713,0.11446774784531044,0.7945332999327093,2.6581876940857683,7.252168403524365,0.19809620297746733,4450.935093965955,4305.825234517875,0.9673978936145794,0,360524,0,6.910935090016174,1078.8021901211557,0.4659707444309122,0.47197595817800564,3.7832948298710622,0.8814759622253174,3.6599514493401943,0.8527379891286567,4292
vary_concurrency,0.5,1,belady,0.0,closed,7,0.5,16000,2.0,200,0.9276880934351083,5307266,73394082,0.11705868758269844,0.8707226699825696,2.608215431044073,7.05533188990421,0.20342670827835718,4831.695793271661,4539.4219258581925,0.9395090502550942,0,363253,0,6.845854332930195,1107.7000955109838,0.4739470936525662,0.48461879178605544,4.106941424280912,0.9806450392265786,3.8585086369794634,0.9213248894411327,4188
vary_concurrency,0.5,5,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9283580651925191,5234745,73068169,0.11359625295699516,0.8466683966416895,2.641612108567415,7.114978920883729,0.17344549540507614,4888.5664315088725,4606.069284938393,0.9422126812577065,0,358958,0,6.838405760397059,1112.448217726397,0.47546076876522714,0.48669609525529867,4.155281466782541,1.0007903340035023,3.9151588921976344,0.9429573439782357,4152
vary_concurrency,0.5,6,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9294787150779571,4985232,70691168,0.10725719844441528,0.7553629311598797,2.54862627543298,7.023921012963001,0.16491588881171992,4814.499215284791,4549.011230049982,0.9448565731630088,0,343658,0,6.910295565390815,1072.1007194244605,0.463033302943197,0.4690440647482015,4.092324332992073,0.9813727417247176,3.8666595455424853,0.9272564857416032,4170
vary_concurrency,0.5,5,lru,0.0,closed,7,0.5,16000,2.0,200,0.9271548052613717,5322665,73068169,0.11523208528433315,0.8766284454231936,2.6316939388075298,7.1022685088978506,0.19381758402528249,4900.46772206274,4602.782435063156,0.939253699058285,0,364453,0,6.836126085016835,1112.448217726397,0.4753022674643693,0.48669609525529867,4.165397563753329,1.0032267735436728,3.9123650698036827,0.9422844580452029,4152
vary_concurrency,0.5,6,lru,0.0,closed,7,0.5,16000,2.0,200,0.9286765780981296,5041936,70691168,0.10872229468850492,0.754404380709957,2.5348182622432205,7.0138341896267775,0.15555002880773827,4816.777147944029,4544.197715161304,0.9434104123129151,0,347202,0,6.908201281825477,1072.1007194244605,0.4628929727608796,0.4690440647482015,4.094260575752425,0.9818370685257614,3.862568057887108,0.9262753136419923,4170
vary_concurrency,0.5,7,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9287389473333268,5288011,74206187,0.12274681855467406,0.831616539734,2.786204624874699,7.39112687854589,0.2139775217854094,4170.5225053130725,4068.316649028156,0.9754932730479908,0,362436,0,6.911243599066446,1111.9540066382172,0.48031156317716667,0.48647987790422004,3.5449441295161117,0.8404324631380066,3.4580691516739326,0.8198362142422789,4218
vary_concurrency,0.5,4,belady,0.0,closed,7,0.5,16000,2.0,200,0.9280085873130608,5421216,75303648,0.12085083968850086,0.9760313916569885,2.6887051759105454,7.331832852311436,0.2716147357589307,4439.461229747704,4270.584032915722,0.9619599793550669,0,369940,0,6.908416515592391,1126.685768411082,0.4864759106483764,0.4929250236798484,3.7735420452855486,0.893569037481778,3.6299964279783636,0.8595776528482982,4223
vary_concurrency,0.5,5,belady,0.0,closed,7,0.5,16000,2.0,200,0.9283580651925191,5234745,73068169,0.11359625295699516,0.8466683966416895,2.641612108567415,7.114978920883729,0.17344549540507614,4888.5664315088725,4606.069284938393,0.9422126812577065,0,358958,0,6.838405760397059,1112.448217726397,0.47546076876522714,0.48669609525529867,4.155281466782541,1.0007903340035023,3.9151588921976344,0.9429573439782357,4152
vary_concurrency,0.5,6,belady,0.0,closed,7,0.5,16000,2.0,200,0.9294787150779571,4985232,70691168,0.10725719844441528,0.7553629311598797,2.54862627543298,7.023921012963001,0.16491588881171992,4814.499215284791,4549.011230049982,0.9448565731630088,0,343658,0,6.910295565390815,1072.1007194244605,0.463033302943197,0.4690440647482015,4.092324332992073,0.9813727417247176,3.8666595455424853,0.9272564857416032,4170
vary_concurrency,0.5,7,lru,0.0,closed,7,0.5,16000,2.0,200,0.9282926233630627,5321131,74206187,0.12277817465701446,0.8540076758065425,2.7793509265565604,7.359573174272782,0.23021401211826742,4179.238984643793,4076.492887197747,0.9754151179620079,0,364506,0,6.90396325163996,1111.9540066382172,0.4798055999590042,0.48647987790422004,3.5523531369472243,0.842188984577341,3.465018954118085,0.8214838677378106,4218
vary_concurrency,0.5,8,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.929917239990986,5503376,78526816,0.12129787055752317,0.9109274944262324,2.743694713797481,7.585530224726881,0.22989192508822498,4634.129727226509,4417.4913190519255,0.9532515443187128,0,376912,0,6.887049185174503,1157.0254197761194,0.4980306859059569,0.5061986211520523,3.9390102681425327,0.9186124692496579,3.754867621194137,0.8756687549426625,4288
vary_concurrency,0.5,7,belady,0.0,closed,7,0.5,16000,2.0,200,0.9287389473333268,5288011,74206187,0.12274681855467406,0.831616539734,2.786204624874699,7.39112687854589,0.2139775217854094,4170.5225053130725,4068.316649028156,0.9754932730479908,0,362436,0,6.911243599066446,1111.9540066382172,0.48031156317716667,0.48647987790422004,3.5449441295161117,0.8404324631380066,3.4580691516739326,0.8198362142422789,4218
vary_concurrency,0.5,8,lru,0.0,closed,7,0.5,16000,2.0,200,0.9287305880325009,5596560,78526816,0.12412467971375918,0.9475627496631205,2.7590868353386213,7.531030662501962,0.249631120261256,4639.055529346332,4427.572141768332,0.9544124043697749,0,382736,0,6.8869109514574856,1157.0254197761194,0.4980206896606782,0.5061986211520523,3.943197199944383,0.9195888992407609,3.7634363205030823,0.8776670523561293,4288
vary_concurrency,0.5,9,lru,0.0,closed,7,0.5,16000,2.0,200,0.9295757283345095,5450547,77395859,0.12184470474436715,0.9218427996247556,2.708833351679459,7.400146806526664,0.22116829019932993,4577.054513746651,4393.932337443404,0.9599912616829753,0,373666,0,6.873875944003808,1141.088194120392,0.49023116797193195,0.4992260849276715,3.890496336684653,0.9077219637621682,3.7348424868268935,0.8714051532493918,4286
vary_concurrency,0.5,8,belady,0.0,closed,7,0.5,16000,2.0,200,0.929917239990986,5503376,78526816,0.12129787055752317,0.9109274944262324,2.743694713797481,7.585530224726881,0.22989192508822498,4634.129727226509,4417.4913190519255,0.9532515443187128,0,376912,0,6.887049185174503,1157.0254197761194,0.4980306859059569,0.5061986211520523,3.9390102681425327,0.9186124692496579,3.754867621194137,0.8756687549426625,4288
vary_concurrency,0.5,9,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9306399713193958,5368179,77395859,0.12125141674260931,0.9166665801531053,2.682021825881229,7.338934843702191,0.2219048823387766,4566.448517101111,4391.977792213539,0.9617929066244395,0,368518,0,6.888046115436883,1141.088194120392,0.4912417564301159,0.4992260849276715,3.8814812395359444,0.9056185813196324,3.733181123381508,0.8710175276205105,4286
vary_concurrency,0.5,10,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9298048936175062,5482170,78099034,0.1202822939140411,0.9331489869036886,2.7314477066888685,7.53736055655304,0.2540901538231992,4415.331764941463,4283.83991092457,0.9702192584799715,0,375052,0,6.888854275752534,1140.0420517560074,0.4908489726735664,0.49876839764325326,3.7530320002002435,0.8671515712107771,3.6412639242858846,0.8413271544098624,4328
vary_concurrency,0.5,11,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.9283882593877205,5099788,71214412,0.120873859681069,0.8266463600544682,2.635535362926248,7.351904407390293,0.2108236594228856,4324.123155191982,4147.778141470346,0.9592183183982865,0,350015,0,6.831894582201159,1090.1929782082325,0.4655052188359106,0.4769594279661017,3.6755046819131847,0.8899527074850326,3.525611420249794,0.8536589395277951,4130
vary_concurrency,0.5,12,oracle_terminal,0.0,closed,7,0.5,16000,2.0,200,0.92895717731,5039012,70929220,0.11421408615080964,0.765998662617676,2.615298108173647,7.032081392606415,0.17473175143231856,4698.548041322282,4429.644062043147,0.9427687070741413,0,347272,0,6.799976169871442,1082.464527027027,0.4600458117821841,0.47357823057432435,3.9937658351239405,0.9637465818349277,3.765197452736675,0.9085901189036377,4144
vary_concurrency,0.5,10,lru,0.0,closed,7,0.5,16000,2.0,200,0.9289698512788264,5547386,78099034,0.11992575931346039,0.8310094889719863,2.7183982422385498,7.483858485955352,0.24325528746851433,4418.086738273478,4282.033352663179,0.9692053611280013,0,379128,0,6.8894052512898085,1140.0420517560074,0.4908882311286903,0.49876839764325326,3.7553737275324566,0.8676926357514918,3.6397283497637027,0.8409723543816319,4328
