sweep,seed,policy,const_ttl_s,concurrency,pause_median_s,pool_blocks,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,rm_total,rm_per_1k_calls,n_calls
concurrency,0,lru,0.0,8,2.0,12868,0.909664505417653,6614881,73225713,0.12660157803668426,1.269418201313556,3.056791335776552,9.203398373980463,0.3095073730310105,3766.719284517897,3739.8455696240494,0.992865485090884,0,449636,0,3.2017113918402127,0.7459718993103944,4292
concurrency,0,lru,0.0,10,2.0,12868,0.7835715303994377,15848129,73225713,0.1570606078636274,8.087297952059544,3.895335827474696,27.828326830858714,3.3866656079478616,4473.160659545696,4447.351497858271,0.9942302180378099,12,1026564,0,3.8021865606138414,0.885877577030252,4292
concurrency,0,lru,0.0,12,2.0,12868,0.650811607665739,25569569,73225713,0.2575784488017234,14.845415347264407,5.551912633543225,42.65708168191668,10.394407093769587,5330.308284942875,5309.455736879341,0.9960879283244389,34,1634004,0,4.530762042201443,1.0556295531690223,4292
concurrency,0,const_ttl,1.0,8,2.0,12868,0.909664505417653,6614881,73225713,0.12660157803668426,1.269418201313556,3.056791335776552,9.203398373980463,0.3095073730310105,3766.719284517897,3739.8455696240494,0.992865485090884,0,449636,20906,3.2017113918402127,0.7459718993103944,4292
concurrency,0,const_ttl,4.0,8,2.0,12868,0.909664505417653,6614881,73225713,0.12660157803668426,1.269418201313556,3.056791335776552,9.203398373980463,0.3095073730310105,3766.719284517897,3739.8455696240494,0.992865485090884,0,449636,30211,3.2017113918402127,0.7459718993103944,4292
concurrency,0,lru,0.0,14,2.0,12868,0.46934398576631137,38857665,73225713,1.1488654007432615,19.639445479890128,12.111618316175736,52.745240942454075,15.101955601929149,6670.593175875593,6655.755591030706,0.9977756723497172,67,2463801,0,5.6700041994942545,1.321063420199034,4292
concurrency,0,const_ttl,1.0,10,2.0,12868,0.7835715303994377,15848129,73225713,0.1570606078636274,8.087297952059544,3.895335827474696,27.828326830858714,3.3866656079478616,4473.160659545696,4447.351497858271,0.9942302180378099,12,1026564,321628,3.8021865606138414,0.885877577030252,4292
concurrency,0,const_ttl,4.0,10,2.0,12868,0.7835715303994377,15848129,73225713,0.1570606078636274,8.087297952059544,3.895335827474696,27.828326830858714,3.3866656079478616,4473.160659545696,4447.351497858271,0.9942302180378099,12,1026564,487263,3.8021865606138414,0.885877577030252,4292
concurrency,0,lru,0.0,16,2.0,12868,0.24437404931789466,55331249,73225713,7.821589505695101,25.126061313110313,25.438394439979675,64.53318562811864,20.729444129060084,8462.330095051473,8443.101026225693,0.997727686274372,82,3492789,0,7.192980580793752,1.6759041427758044,4292
concurrency,0,const_ttl,1.0,12,2.0,12868,0.650811607665739,25569569,73225713,0.2575784488017234,14.845415347264407,5.551912633543225,42.65708168191668,10.394407093769587,5330.308284942875,5309.455736879341,0.9960879283244389,34,1634004,706211,4.530762042201443,1.0556295531690223,4292
concurrency,0,lru,0.0,18,2.0,12868,0.15246032496808873,62061697,73225713,12.84639420236772,29.91334725367608,32.92217706798624,72.460804574897,25.450284105887476,9211.126595761403,9197.39686966168,0.9985094411680281,147,3913909,0,7.829457606397193,1.824197951164304,4292
concurrency,0,const_ttl,1.0,14,2.0,12868,0.46934398576631137,38857665,73225713,1.1488654007432615,19.639445479890128,12.111618316175736,52.745240942454075,15.101955601929149,6670.593175875593,6655.755591030706,0.9977756723497172,67,2463801,1293894,5.6700041994942545,1.321063420199034,4292
concurrency,0,const_ttl,1.0,16,2.0,12868,0.24437404931789466,55331249,73225713,7.821589505695101,25.126061313110313,25.438394439979675,64.53318562811864,20.729444129060084,8462.330095051473,8443.101026225693,0.997727686274372,82,3492789,2104757,7.192980580793752,1.6759041427758044,4292
concurrency,0,const_ttl,1.0,18,2.0,12868,0.15246032496808873,62061697,73225713,12.84639420236772,29.91334725367608,32.92217706798624,72.460804574897,25.450284105887476,9211.126595761403,9197.39686966168,0.9985094411680281,147,3913909,2571603,7.829457606397193,1.824197951164304,4292
concurrency,0,const_ttl,4.0,12,2.0,12868,0.650811607665739,25569569,73225713,0.2575784488017234,14.845415347264407,5.551912633543225,42.65708168191668,10.394407093769587,5330.308284942875,5309.455736879341,0.9960879283244389,34,1634004,1006738,4.530762042201443,1.0556295531690223,4292
concurrency,0,const_ttl,4.0,14,2.0,12868,0.46934398576631137,38857665,73225713,1.1488654007432615,19.639445479890128,12.111618316175736,52.745240942454075,15.101955601929149,6670.593175875593,6655.755591030706,0.9977756723497172,67,2463801,1832081,5.6700041994942545,1.321063420199034,4292
concurrency,0,const_ttl,16.0,8,2.0,12868,0.909664505417653,6614881,73225713,0.12660157803668426,1.269418201313556,3.056791335776552,9.203398373980463,0.3095073730310105,3766.719284517897,3739.8455696240494,0.992865485090884,0,449636,87615,3.2017113918402127,0.7459718993103944,4292
concurrency,0,const_ttl,16.0,10,2.0,12868,0.7835715303994377,15848129,73225713,0.1570606078636274,8.087297952059544,3.895335827474696,27.828326830858714,3.3866656079478616,4473.160659545696,4447.351497858271,0.9942302180378099,12,1026564,744016,3.8021865606138414,0.885877577030252,4292
concurrency,0,const_ttl,4.0,16,2.0,12868,0.24437404931789466,55331249,73225713,7.821589505695101,25.126061313110313,25.438394439979675,64.53318562811864,20.729444129060084,8462.330095051473,8443.101026225693,0.997727686274372,82,3492789,2905323,7.192980580793752,1.6759041427758044,4292
concurrency,0,const_ttl,16.0,12,2.0,12868,0.650811607665739,25569569,73225713,0.2575784488017234,14.845415347264407,5.551912633543225,42.65708168191668,10.394407093769587,5330.308284942875,5309.455736879341,0.9960879283244389,34,1634004,1467807,4.530762042201443,1.0556295531690223,4292
concurrency,0,const_ttl,4.0,18,2.0,12868,0.15246032496808873,62061697,73225713,12.84639420236772,29.91334725367608,32.92217706798624,72.460804574897,25.450284105887476,9211.126595761403,9197.39686966168,0.9985094411680281,147,3913909,3389210,7.829457606397193,1.824197951164304,4292
concurrency,0,const_ttl,16.0,14,2.0,12868,0.46934398576631137,38857665,73225713,1.1488654007432615,19.639445479890128,12.111618316175736,52.745240942454075,15.101955601929149,6670.593175875593,6655.755591030706,0.9977756723497172,67,2463801,2401203,5.6700041994942545,1.321063420199034,4292
concurrency,0,const_ttl,64.0,8,2.0,12868,0.909664505417653,6614881,73225713,0.12660157803668426,1.269418201313556,3.056791335776552,9.203398373980463,0.3095073730310105,3766.719284517897,3739.8455696240494,0.992865485090884,0,449636,382041,3.2017113918402127,0.7459718993103944,4292
concurrency,0,const_ttl,64.0,10,2.0,12868,0.7835715303994377,15848129,73225713,0.1570606078636274,8.087297952059544,3.895335827474696,27.828326830858714,3.3866656079478616,4473.160659545696,4447.351497858271,0.9942302180378099,12,1026564,1018874,3.8021865606138414,0.885877577030252,4292
concurrency,0,const_ttl,16.0,16,2.0,12868,0.24437404931789466,55331249,73225713,7.821589505695101,25.126061313110313,25.438394439979675,64.53318562811864,20.729444129060084,8462.330095051473,8443.101026225693,0.997727686274372,82,3492789,3481247,7.192980580793752,1.6759041427758044,4292
concurrency,0,const_ttl,16.0,18,2.0,12868,0.15246032496808873,62061697,73225713,12.84639420236772,29.91334725367608,32.92217706798624,72.460804574897,25.450284105887476,9211.126595761403,9197.39686966168,0.9985094411680281,147,3913909,3908639,7.829457606397193,1.824197951164304,4292
concurrency,0,const_ttl,64.0,12,2.0,12868,0.650811607665739,25569569,73225713,0.2575784488017234,14.845415347264407,5.551912633543225,42.65708168191668,10.394407093769587,5330.308284942875,5309.455736879341,0.9960879283244389,34,1634004,1631368,4.530762042201443,1.0556295531690223,4292
concurrency,0,const_ttl,64.0,14,2.0,12868,0.46934398576631137,38857665,73225713,1.1488654007432615,19.639445479890128,12.111618316175736,52.745240942454075,15.101955601929149,6670.593175875593,6655.755591030706,0.9977756723497172,67,2463801,2461858,5.6700041994942545,1.321063420199034,4292
concurrency,0,const_ttl,1000000000.0,8,2.0,12868,0.909664505417653,6614881,73225713,0.12660157803668426,1.269418201313556,3.056791335776552,9.203398373980463,0.3095073730310105,3766.719284517897,3739.8455696240494,0.992865485090884,0,449636,449636,3.2017113918402127,0.7459718993103944,4292
concurrency,0,const_ttl,256.0,8,2.0,12868,0.909664505417653,6614881,73225713,0.12660157803668426,1.269418201313556,3.056791335776552,9.203398373980463,0.3095073730310105,3766.719284517897,3739.8455696240494,0.992865485090884,0,449636,449636,3.2017113918402127,0.7459718993103944,4292
concurrency,0,const_ttl,1000000000.0,10,2.0,12868,0.7835715303994377,15848129,73225713,0.1570606078636274,8.087297952059544,3.895335827474696,27.828326830858714,3.3866656079478616,4473.160659545696,4447.351497858271,0.9942302180378099,12,1026564,1026564,3.8021865606138414,0.885877577030252,4292
concurrency,0,const_ttl,64.0,16,2.0,12868,0.24437404931789466,55331249,73225713,7.821589505695101,25.126061313110313,25.438394439979675,64.53318562811864,20.729444129060084,8462.330095051473,8443.101026225693,0.997727686274372,82,3492789,3492320,7.192980580793752,1.6759041427758044,4292
concurrency,0,const_ttl,256.0,10,2.0,12868,0.7835715303994377,15848129,73225713,0.1570606078636274,8.087297952059544,3.895335827474696,27.828326830858714,3.3866656079478616,4473.160659545696,4447.351497858271,0.9942302180378099,12,1026564,1026564,3.8021865606138414,0.885877577030252,4292
concurrency,0,const_ttl,1000000000.0,12,2.0,12868,0.650811607665739,25569569,73225713,0.2575784488017234,14.845415347264407,5.551912633543225,42.65708168191668,10.394407093769587,5330.308284942875,5309.455736879341,0.9960879283244389,34,1634004,1634004,4.530762042201443,1.0556295531690223,4292
concurrency,0,const_ttl,256.0,12,2.0,12868,0.650811607665739,25569569,73225713,0.2575784488017234,14.845415347264407,5.551912633543225,42.65708168191668,10.394407093769587,5330.308284942875,5309.455736879341,0.9960879283244389,34,1634004,1634004,4.530762042201443,1.0556295531690223,4292
concurrency,0,const_ttl,64.0,18,2.0,12868,0.15246032496808873,62061697,73225713,12.84639420236772,29.91334725367608,32.92217706798624,72.460804574897,25.450284105887476,9211.126595761403,9197.39686966168,0.9985094411680281,147,3913909,3913809,7.829457606397193,1.824197951164304,4292
concurrency,0,const_ttl,1000000000.0,14,2.0,12868,0.46934398576631137,38857665,73225713,1.1488654007432615,19.639445479890128,12.111618316175736,52.745240942454075,15.101955601929149,6670.593175875593,6655.755591030706,0.9977756723497172,67,2463801,2463801,5.6700041994942545,1.321063420199034,4292
concurrency,0,const_ttl,256.0,14,2.0,12868,0.46934398576631137,38857665,73225713,1.1488654007432615,19.639445479890128,12.111618316175736,52.745240942454075,15.101955601929149,6670.593175875593,6655.755591030706,0.9977756723497172,67,2463801,2463801,5.6700041994942545,1.321063420199034,4292
concurrency,0,const_ttl,1000000000.0,16,2.0,12868,0.24437404931789466,55331249,73225713,7.821589505695101,25.126061313110313,25.438394439979675,64.53318562811864,20.729444129060084,8462.330095051473,8443.101026225693,0.997727686274372,82,3492789,3492789,7.192980580793752,1.6759041427758044,4292
