signal,threshold,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
0.75,-1.0,1,lru,0.0,closed,10,0.5,12868,2.0,200,0.8668913887653183,9583075,71994403,0.1365009473686376,3.1588662973277906,2.7455599108310764,11.796429644745444,0.5717761764694842,4446.209012112733,4135.6183428122495,0.9301448338451147,4,628772,0,9.491262033353554,1078.5059297912715,0.795491326093765,0.8381301910096918,3.779277660295823,0.8964131072807929,3.515275591390412,0.8337940207282761,4216
0.75,-1.0,0,lru,0.0,closed,10,0.5,12868,2.0,200,0.8153977803523532,13464362,72937162,0.1501610561833786,7.077139072755472,3.0021203977744335,21.346285133316087,0.9809919406516201,4566.810801195759,4487.470729433702,0.9826268099958766,0,870860,0,9.826610090592563,1098.6068702290077,0.8389478828556638,0.853751064834479,3.881789181016395,0.9259993275325371,3.814350120018647,0.9099117652716239,4192
0.75,-1.0,1,belady,0.0,closed,10,0.5,12868,2.0,200,0.8927727340137815,7719763,71994403,0.12669851013572497,1.6889363431762376,2.630074538623667,9.520971185396775,0.38397730015003617,4293.044766691749,3952.9013117570016,0.9207687146489124,0,456194,0,9.456050161839379,1078.5059297912715,0.7925401128339665,0.8381301910096918,3.6490880516879867,0.8655332190910784,3.359966114993451,0.7969559096284278,4216
0.75,-1.0,1,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8912775066695116,7827411,71994403,0.12497538696550237,1.7045196840517747,2.5846606233282046,9.548472122203293,0.4560097909962053,4287.615286562983,3970.2774096100406,0.9259873249478675,0,506478,0,9.485418492334958,1078.5059297912715,0.7950015612787561,0.8381301910096918,3.6444729935785354,0.8644385658393111,3.374735798168534,0.8004591551633146,4216
0.75,-1.0,0,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.825530557385822,12725306,72937162,0.14021179984206356,7.041789221585077,2.9156555697343265,21.940321825488013,0.9459998657250708,4521.193907864171,4436.7316298142505,0.9813185897859841,5,806407,0,9.82381253751251,1098.6068702290077,0.8387090414635611,0.853751064834479,3.8430148216845454,0.916749718913298,3.7712218853421127,0.8996235413506949,4192
0.75,0.3,1,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8492211262589399,10855235,71994403,0.14116825276719425,4.624406288328828,2.8388334365894963,13.314835928646971,0.6504858964376581,4602.360354651795,4306.865078522602,0.9357948414816054,2,696354,0,9.498842500524322,1078.5059297912715,0.7961266679335429,0.8381301910096918,3.912006301454026,0.9278952327927007,3.6608353167442114,0.8683195722827826,4216
0.75,0.5,1,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8598117273088576,10092771,71994403,0.13638637898438333,3.83148888219921,2.7919616687009636,12.838145803592852,0.6003168383906541,4495.576306058043,4181.993360865561,0.9302463302046701,0,645812,0,9.504850441409694,1078.5059297912715,0.7966302115977261,0.8381301910096918,3.8212398601493365,0.9063661907375086,3.5546943567357268,0.8431438227551533,4216
0.75,0.3,0,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8171996601677483,13332938,72937162,0.15388892020769518,6.405521118645538,3.1376051869424373,18.568215583606616,0.9500769288283664,4524.238238100896,4454.263081035415,0.9845332731428278,14,851817,0,9.828739783139671,1098.6068702290077,0.8391297055836502,0.853751064834479,3.8456025023857614,0.9173670091569087,3.7861236188801026,0.9031783441984977,4192
0.75,0.5,0,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8225945506352441,12939450,72937162,0.14624759299476864,6.445162886147045,3.0498031150904126,19.332070261929402,0.8986612952803625,4522.4231027745,4447.633546487626,0.9834625034882315,23,832893,0,9.833530198001117,1098.6068702290077,0.839538687762546,0.853751064834479,3.8440596373583253,0.9169989592934936,3.780488514514482,0.9018340922028821,4192
0.75,-1.0,0,belady,0.0,closed,10,0.5,12868,2.0,200,0.8475291100577782,11120794,72937162,0.13923806070158662,5.514844717206415,2.8464216527754616,18.442521316535476,0.821338352019211,4314.158174908526,4238.135802181658,0.9823783992972208,1,626944,0,9.818182258287626,1098.6068702290077,0.8382283557752052,0.853751064834479,3.667034448672247,0.8747696680992956,3.602415431854409,0.8593548263011472,4192
