loop,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
open_matched,1,lru,0.0,poisson,32,0.09745720019056328,16000,0.5,200,0.9204395526058899,5839266,73394082,0.08718072487988593,0.5483223472194823,2.2987001245997476,6.718449691825754,0.17323315413750606,2227.668463409015,2202.3571976719945,0.9886377770513092,1,395801,0,7.300851830326099,1107.7000955109838,0.5054471418602351,,1.8935181938976628,0.4521294636813904,1.8720036180211952,0.4469922679133704,4188
open_matched,0,lru,0.0,poisson,32,0.09745720019056328,16000,0.5,200,0.9147435956000866,6242961,73225713,0.08683862729674274,0.5445338576689664,2.2791251550535208,7.067713468225065,0.17083992186826435,2236.3525207880616,2211.318287308005,0.9888057749181534,0,423784,0,7.259170203770006,1078.8021901211557,0.4894505446430824,,1.9008996426698523,0.44289367256986306,1.8796205442118044,0.4379358211117904,4292
open_matched,0,belady,0.0,poisson,32,0.09745720019056328,16000,0.5,200,0.9164857158850744,6115393,73225713,0.08683862729674274,0.5234431671872244,2.272226206749707,7.062624793377154,0.16282378734285885,2231.381872697056,2206.1188999219953,0.9886783284008104,4,401861,0,7.233648864656628,1078.8021901211557,0.4877297648599363,,1.8966745917924979,0.44190927115389045,1.8752010649336959,0.43690611950924885,4292
open_matched,1,belady,0.0,poisson,32,0.09745720019056328,16000,0.5,200,0.9257310964118333,5450898,73394082,0.08677591233407611,0.526254224548552,2.287171484412937,6.581611972856763,0.1685608775342189,2199.125729747448,2171.8099797000054,0.9875788138540949,0,366672,0,7.199279025910557,1107.7000955109838,0.49841512903820917,,1.869256870285331,0.4463364064673665,1.8460384827450045,0.4407923788789409,4188
open_matched,1,oracle_terminal,0.0,poisson,32,0.09745720019056328,16000,0.5,200,0.9256922921932589,5453746,73394082,0.08717050740165178,0.5413425369323477,2.2965006113286393,6.65804578208872,0.17504074544467585,2197.1739104905255,2169.903313033337,0.9875883300238621,0,369799,0,7.215136639718575,1107.7000955109838,0.4995129715588166,,1.8675978239169466,0.4459402635904839,1.8444178160783364,0.44040540020972696,4188
closed,2,lru,0.0,closed,16,0.5,16000,0.5,200,0.49492179646554746,36429767,72126983,0.5478692584529199,10.536563565332472,9.464510542318294,41.03061169013381,7.556233799631514,4182.268933735844,4128.3285346920175,0.9871025991158239,64,2306098,0,15.574454665878315,1105.6165413533834,1.0762109188220905,1.1056165413533834,3.554928593675468,0.8622189167294368,3.5090792544882152,0.8510985337104572,4123
open_matched,0,oracle_terminal,0.0,poisson,32,0.09745720019056328,16000,0.5,200,0.9142622346333452,6278209,73225713,0.08689049778189428,0.5299045941148961,2.2762911835240587,7.1768081386219365,0.17164127318073952,2244.008008541154,2218.339917649334,0.988561497644339,4,423362,0,7.276027297215948,1078.8021901211557,0.49058713647611735,,1.907406807259981,0.44440978733923137,1.885588930001934,0.4393264049398728,4292
closed,0,lru,0.0,closed,16,0.5,16000,0.5,200,0.4906398931206037,37298257,73225713,0.41706677577298024,12.701342759844465,8.72735920367495,42.77722273751169,9.58212864086272,4202.870585232156,4199.454918047976,0.9991873013658374,36,2361180,0,15.766185102325707,1078.8021901211557,1.063037188640282,1.0788021901211557,3.572439997447333,0.8323485548572537,3.5695366803407795,0.8316721063235739,4292
closed,1,lru,0.0,closed,16,0.5,16000,0.5,200,0.45857430303440544,39737442,73394082,1.0285319057683182,11.758660897804475,11.153773008398616,43.47520634847001,8.900530428926686,4406.803402714831,4398.886204315369,0.9982034146577574,62,2513512,0,15.820312136024054,1107.7000955109838,1.0952600790054636,1.107700095510984,3.745782892307606,0.8944085225185305,3.7390532736680635,0.892801641276997,4188
closed,0,oracle_terminal,0.0,closed,16,0.5,16000,0.5,200,0.49247487696022846,37163889,73225713,0.4183284075481879,12.233437833333028,9.03579064699187,41.792658433339966,9.166893943523519,4179.39476735806,4175.300968560634,0.999020480470187,24,2332749,0,15.772886548725666,1078.8021901211557,1.0634890345811103,1.0788021901211557,3.552485552254351,0.8276993364991498,3.549005823276539,0.8268885888342357,4292
